Country Name,Country Code,Indicator Name,Indicator Code,Year,WB Value
United States,USA,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,1960.0,13.3284635987339
United States,USA,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,1960.0,66.7104942780618
United States,USA,Rural population (% of total population),SP.RUR.TOTL.ZS,1960.0,30.004
United States,USA,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,1960.0,1.8031002955406
United States,USA,"Population ages 65 and above, total",SP.POP.65UP.TO,1960.0,15955818.0
United States,USA,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1960.0,8809058.0
United States,USA,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,1960.0,4.11459601601652
United States,USA,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,1960.0,5.41260849180641
United States,USA,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,1960.0,6.51998283052713
United States,USA,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,1960.0,6.63116325793826
United States,USA,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,1960.0,6.15629390657239
United States,USA,"Population ages 15-64, male",SP.POP.1564.MA.IN,1960.0,53046751.0
United States,USA,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,1960.0,7.29108197780407
United States,USA,"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,1960.0,10.143650366464
United States,USA,"Population ages 0-14, male",SP.POP.0014.MA.IN,1960.0,28502320.0
United States,USA,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,1960.0,11.162290337072
United States,USA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,1960.0,11.1997817724156
United States,USA,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,1960.0,59.4
United States,USA,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,1960.0,83.3
United States,USA,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,1960.0,37.7
United States,USA,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,1960.0,4.07596785975164
United States,USA,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,1960.0,2.8536644752861
United States,USA,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,1960.0,2.55174093011931
United States,USA,Urban population,SP.URB.TOTL,1960.0,126462473.0
United States,USA,Rural population,SP.RUR.TOTL,1960.0,54208527.0
United States,USA,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,1960.0,1.56804239923797
United States,USA,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1960.0,2.70080482789407
United States,USA,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1960.0,7146761.0
United States,USA,"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,1960.0,3.50570027970267
United States,USA,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,1960.0,4.74106166825831
United States,USA,"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,1960.0,6.0087646906418
United States,USA,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,1960.0,7.01126435428325
United States,USA,"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,1960.0,6.10909229392553
United States,USA,"Population ages 15-64, total",SP.POP.1564.TO,1960.0,108228090.0
United States,USA,"Population ages 15-64, female",SP.POP.1564.FE.IN,1960.0,55181339.0
United States,USA,"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,1960.0,9.12050200631507
United States,USA,"Population ages 0-14, total",SP.POP.0014.TO,1960.0,56487092.0
United States,USA,"Population ages 0-14, female",SP.POP.0014.FE.IN,1960.0,27984772.0
United States,USA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1960.0,18991.5446025928
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,1960.0,2999.86487154495
United States,USA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1961.0,20959000000.0
United States,USA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,1961.0,2.88658810057732
United States,USA,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,1961.0,25.8934109451787
United States,USA,Urban population growth (annual %),SP.URB.GROW,1961.0,2.20057087771013
United States,USA,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,1961.0,1.50098978938582
United States,USA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,1961.0,8.93224971447274
United States,USA,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,1961.0,9.7243299931466
United States,USA,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,1961.0,3.87037956926758
United States,USA,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,1961.0,5.37961346018902
United States,USA,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,1961.0,6.50153346121653
United States,USA,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,1961.0,6.50564329027048
United States,USA,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,1961.0,6.1383896770916
United States,USA,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,1961.0,59.5685495014993
United States,USA,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,1961.0,7.80121495724231
United States,USA,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,1961.0,10.7672871406732
United States,USA,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,1961.0,32.3219244763969
United States,USA,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,1961.0,11.7567448736174
United States,USA,GDP per capita (current LCU),NY.GDP.PCAP.CN,1961.0,3059.16082086127
United States,USA,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1961.0,2.01345484040269
United States,USA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,1961.0,0.968557660193712
United States,USA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1961.0,20190000000.0
United States,USA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,1961.0,6.4291525870124
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961.0,70.377
United States,USA,Rural population growth (annual %),SP.RUR.TOTL.ZG,1961.0,0.379767922918795
United States,USA,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,1961.0,1.13810099465474
United States,USA,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,1961.0,2.31350932642041
United States,USA,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,1961.0,8.10952602210374
United States,USA,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1961.0,3.15692591164278
United States,USA,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,1961.0,4.60005255225856
United States,USA,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,1961.0,5.98137898564186
United States,USA,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,1961.0,6.76982341295615
United States,USA,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,1961.0,6.02052013536526
United States,USA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,1961.0,59.6628899470724
United States,USA,"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,1961.0,59.753716560081
United States,USA,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,1961.0,9.79789246210631
United States,USA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,1961.0,31.4048603384548
United States,USA,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,1961.0,30.5219534467724
United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1961.0,19108.9353645939
United States,USA,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,1961.0,7.18068610143614
United States,USA,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,1961.0,12.8775227825755
United States,USA,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,1961.0,66.9259029533852
United States,USA,Rural population (% of total population),SP.RUR.TOTL.ZS,1961.0,29.623
United States,USA,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,1961.0,1.85026504817315
United States,USA,"Population ages 65 and above, total",SP.POP.65UP.TO,1961.0,16407739.0
United States,USA,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1961.0,9100846.0
United States,USA,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,1961.0,4.13473374439673
United States,USA,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,1961.0,5.40494242108568
United States,USA,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,1961.0,6.52938929729728
United States,USA,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,1961.0,6.4221076964983
United States,USA,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,1961.0,6.20109324372209
United States,USA,"Population ages 15-64, male",SP.POP.1564.MA.IN,1961.0,53672805.0
United States,USA,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,1961.0,7.49672397902519
United States,USA,"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,1961.0,10.2504391003841
United States,USA,"Population ages 0-14, male",SP.POP.0014.MA.IN,1961.0,29122890.0
United States,USA,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,1961.0,11.0203142582979
United States,USA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,1961.0,11.1082986147142
United States,USA,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,1961.0,59.3
United States,USA,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,1961.0,82.9
United States,USA,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,1961.0,38.1
United States,USA,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,1961.0,3.39710864067942
United States,USA,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,1961.0,3.75017892075004
United States,USA,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,1961.0,3.02018226060404
United States,USA,Urban population,SP.URB.TOTL,1961.0,129276215.0
United States,USA,Rural population,SP.RUR.TOTL,1961.0,54414785.0
United States,USA,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,1961.0,1.63217724491173
United States,USA,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1961.0,2.71468136132824
United States,USA,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1961.0,7306893.0
United States,USA,"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,1961.0,3.52720633873349
United States,USA,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,1961.0,4.71724396602235
United States,USA,"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,1961.0,5.99033490042971
United States,USA,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,1961.0,6.87657914121588
United States,USA,"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,1961.0,5.98056817038778
United States,USA,"Population ages 15-64, total",SP.POP.1564.TO,1961.0,109595359.0
United States,USA,"Population ages 15-64, female",SP.POP.1564.FE.IN,1961.0,55922554.0
United States,USA,"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,1961.0,9.25120008809044
United States,USA,"Population ages 0-14, total",SP.POP.0014.TO,1961.0,57687902.0
United States,USA,"Population ages 0-14, female",SP.POP.0014.FE.IN,1961.0,28565012.0
United States,USA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1961.0,0.618121192654584
United States,USA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1961.0,19108.9353645939
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,1961.0,3059.16082086127
United States,USA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1962.0,21616000000.0
United States,USA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,1962.0,3.18282753515914
United States,USA,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,1962.0,26.929126572909
United States,USA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,1962.0,3.97474148584131
United States,USA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,1962.0,3.75183822542366
United States,USA,Urban population growth (annual %),SP.URB.GROW,1962.0,2.07649430194512
United States,USA,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,1962.0,1.51834285489293
United States,USA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,1962.0,9.01040436507793
United States,USA,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,1962.0,9.84934525048209
United States,USA,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,1962.0,3.84941498789068
United States,USA,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,1962.0,5.37557850527223
United States,USA,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,1962.0,6.5006397884381
United States,USA,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,1962.0,6.31551526002875
United States,USA,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,1962.0,6.27235272159328
United States,USA,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,1962.0,59.6162637563858
United States,USA,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,1962.0,8.16067689595988
United States,USA,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,1962.0,10.8445623741846
United States,USA,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,1962.0,32.246277639496
United States,USA,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,1962.0,11.6255964682625
United States,USA,GDP per capita (current LCU),NY.GDP.PCAP.CN,1962.0,3236.01311150062
United States,USA,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1962.0,2.29459659511473
United States,USA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,1962.0,1.27220577350111
United States,USA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1962.0,20973000000.0
United States,USA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,1962.0,6.24338648004558
United States,USA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,1962.0,6.42005792108249
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962.0,70.757
United States,USA,Rural population growth (annual %),SP.RUR.TOTL.ZG,1962.0,0.246910823324667
United States,USA,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,1962.0,1.17633079912833
United States,USA,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,1962.0,2.31599578845878
United States,USA,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,1962.0,8.13745860411824
United States,USA,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1962.0,3.1267891616382
United States,USA,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,1962.0,4.62200278833692
United States,USA,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,1962.0,5.93708109009052
United States,USA,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,1962.0,6.6268812250367
United States,USA,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,1962.0,5.9561204937387
United States,USA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,1962.0,59.6983753143288
United States,USA,"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,1962.0,59.7772882848745
United States,USA,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,1962.0,9.77611879704889
United States,USA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,1962.0,31.2912203205933
United States,USA,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,1962.0,30.3733664646434
United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1962.0,19965.1435753955
United States,USA,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,1962.0,6.82827535159141
United States,USA,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,1962.0,12.1160251665433
United States,USA,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,1962.0,66.2425980754996
United States,USA,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,1962.0,62.9126622509305
United States,USA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,1962.0,20.6845977204806
United States,USA,Rural population (% of total population),SP.RUR.TOTL.ZS,1962.0,29.243
United States,USA,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,1962.0,1.88951401104047
United States,USA,"Population ages 65 and above, total",SP.POP.65UP.TO,1962.0,16807828.0
United States,USA,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1962.0,9368864.0
United States,USA,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,1962.0,4.12994028005356
United States,USA,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,1962.0,5.39816135890351
United States,USA,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,1962.0,6.5550889117069
United States,USA,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,1962.0,6.22295907724865
United States,USA,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,1962.0,6.36219098566654
United States,USA,"Population ages 15-64, male",SP.POP.1564.MA.IN,1962.0,54498987.0
United States,USA,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,1962.0,7.80599054601563
United States,USA,"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,1962.0,10.3183471127031
United States,USA,"Population ages 0-14, male",SP.POP.0014.MA.IN,1962.0,29478356.0
United States,USA,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,1962.0,10.828047201541
United States,USA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,1962.0,11.0314517623112
United States,USA,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,1962.0,58.8
United States,USA,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,1962.0,82.0
United States,USA,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,1962.0,37.9
United States,USA,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,1962.0,4.51980014803849
United States,USA,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,1962.0,3.54367135455218
United States,USA,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,1962.0,3.47427831236121
United States,USA,Urban population,SP.URB.TOTL,1962.0,131988693.0
United States,USA,Rural population,SP.RUR.TOTL,1962.0,54549307.0
United States,USA,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,1962.0,1.69514102831112
United States,USA,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1962.0,2.74719199801543
United States,USA,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1962.0,7438964.0
United States,USA,"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,1962.0,3.51749821311507
United States,USA,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,1962.0,4.75051642606378
United States,USA,"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,1962.0,5.95688647176569
United States,USA,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,1962.0,6.70879044884148
United States,USA,"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,1962.0,5.88676377860877
United States,USA,"Population ages 15-64, total",SP.POP.1564.TO,1962.0,111360155.0
United States,USA,"Population ages 15-64, female",SP.POP.1564.FE.IN,1962.0,56861169.0
United States,USA,"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,1962.0,9.22697215039934
United States,USA,"Population ages 0-14, total",SP.POP.0014.TO,1962.0,58370017.0
United States,USA,"Population ages 0-14, female",SP.POP.0014.FE.IN,1962.0,28891660.0
United States,USA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1962.0,4.48066935423364
United States,USA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1962.0,19965.1435753955
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,1962.0,3236.01311150062
United States,USA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1963.0,23275000000.0
United States,USA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,1963.0,2.77551020408163
United States,USA,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,1963.0,26.1911922663802
United States,USA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,1963.0,4.0676449327757
United States,USA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,1963.0,4.1250641516366
United States,USA,Urban population growth (annual %),SP.URB.GROW,1963.0,1.97055936295003
United States,USA,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,1963.0,1.5355716902588
United States,USA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,1963.0,9.07360013080243
United States,USA,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,1963.0,9.96647102680248
United States,USA,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,1963.0,3.8491214087961
United States,USA,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,1963.0,5.36998450642905
United States,USA,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,1963.0,6.47142406931421
United States,USA,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,1963.0,6.12547033132418
United States,USA,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,1963.0,6.49944625161497
United States,USA,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,1963.0,59.7494434823216
United States,USA,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,1963.0,8.43950316310867
United States,USA,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,1963.0,10.9046740469622
United States,USA,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,1963.0,32.107751060868
