Country Name,Country Code,Indicator Name,Indicator Code,Year,WB Value,PM10,coordinates,parameter.name,parameter.units,parameter.displayName,period.label,period.interval
United States,USA,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,2016.0,19.5138602584889,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,2016.0,6.20121535768024,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2016.0,1.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,2016.0,0.16,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2016.0,0.4,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,2016.0,19.42953,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,2016.0,19.85908,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2016.0,58206.6141931841,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,GDP per capita (current LCU),NY.GDP.PCAP.CN,2016.0,58206.6141931844,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,2016.0,0.269979989244613,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,2016.0,0.91883613028823,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,2016.0,1.33590308075944,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,2016.0,1451011000000.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2016.0,17.5129110851589,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,2016.0,2.2932690995558,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,2016.0,19.68190440445,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016.0,81.862,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Rural population growth (annual %),SP.RUR.TOTL.ZG,2016.0,-0.322855438046257,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,2016.0,2.73281076603402,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,2016.0,3.39558532523708,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2016.0,13.1132846658821,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,2016.0,4.78936840527108,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2016.0,6.72121750233362,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,2016.0,6.57896405320886,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,2016.0,6.77374352505854,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,2016.0,7.41652731809169,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2016.0,66.3180403833652,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,2016.0,65.2561972179954,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,2016.0,6.67056266182925,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2016.0,19.0672311047361,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,2016.0,18.6176259581208,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2016.0,9.8,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2016.0,65275.5718178599,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2016.0,57658.6708825722,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,2016.0,0.0545427047125235,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2016.0,100.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,2016.0,100.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,2016.0,10.6947857394138,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,2016.0,46.5696204683693,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,2016.0,0.583269182431038,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,2016.0,22.7874913806838,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,2016.0,60.4541506040449,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,2016.0,63.2604946594473,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,2016.0,10.5981891528546,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Rural population (% of total population),SP.RUR.TOTL.ZS,2016.0,18.138,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,2016.0,2.73378654143355,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 65 and above, total",SP.POP.65UP.TO,2016.0,47216060.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,2016.0,25963062.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,2016.0,6.10998105806706,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,2016.0,6.76804436212344,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,2016.0,6.0501611391237,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,2016.0,6.75174133796458,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,2016.0,6.6379691623214,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 15-64, male",SP.POP.1564.MA.IN,2016.0,109192713.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,2016.0,6.32429291812486,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,2016.0,6.3351876103088,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 0-14, male",SP.POP.0014.MA.IN,2016.0,31626556.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,2016.0,5.94649636297447,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,2016.0,99.2612926141826,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,2016.0,0.21,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,2016.0,97.0638619563953,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,2016.0,98.0285314185843,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,2016.0,7.07244066502063,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2016.0,0.238476460814034,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,2016.0,62.786,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"People using safely managed sanitation services, urban (% of urban population)",SH.STA.SMSS.UR.ZS,2016.0,97.2257608757819,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,2016.0,0.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,2016.0,99.848610433663,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,2016.0,99.8381205944244,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,2016.0,22.1348,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,2016.0,0.0164458492829311,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2016.0,100.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,2016.0,100.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,2016.0,69.189,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,2016.0,56.801,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,2016.0,77.354,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,2016.0,0.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,2016.0,0.276866386180175,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,2016.0,1.79401382685561,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,2016.0,11.2517713451193,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,2016.0,4.40735979665681,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Urban population,SP.URB.TOTL,2016.0,264473000.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Rural population,SP.RUR.TOTL,2016.0,58598755.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,2016.0,4.35674668337105,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,2016.0,3.84012174550293,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,2016.0,21252998.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,2016.0,5.19552185357631,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,2016.0,6.81703115803632,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,2016.0,6.38339259989189,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,2016.0,6.45418462965769,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,2016.0,6.95939885268443,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 15-64, total",SP.POP.1564.TO,2016.0,214254857.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 15-64, female",SP.POP.1564.FE.IN,2016.0,105062144.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,2016.0,6.33594198483754,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 0-14, total",SP.POP.0014.TO,2016.0,61600838.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 0-14, female",SP.POP.0014.FE.IN,2016.0,29974283.0,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,2016.0,62.211,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,2016.0,66.08,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,2016.0,68.513,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2016.0,56.135,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,2016.0,71.721,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2016.0,1.08425738313417,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,2016.0,22.0930699626974,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2016.0,57658.6708825722,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,2016.0,58206.6141931844,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,2016.0,3.33443559203764,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,2016.0,7.40835009300858,21.0,,pm10,µg/m³,,1year,1 year
United States,USA,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,2017.0,24.0313424638768,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2017.0,817549000000.0,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2017.0,1545610000000.0,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,2017.0,0.826237358583342,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,2017.0,39.7301598645842,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2017.0,2.74624450462334,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,2017.0,10.510450824598,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Urban population growth (annual %),SP.URB.GROW,2017.0,0.871785260117191,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,2017.0,2.27519765248106,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2017.0,14.9391233929999,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2017.0,16.4497022810785,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,2017.0,5.88960634062058,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,2017.0,6.66370678008733,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,2017.0,6.25139142807046,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,2017.0,7.15373526710964,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,2017.0,6.95350991436603,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,2017.0,67.1882972402473,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,2017.0,6.70590781098902,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,2017.0,6.52291677160893,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,2017.0,19.3705567603191,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,2017.0,6.13469672410694,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017.0,0.9,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,2017.0,0.15,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2017.0,0.4,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2017.0,60322.261424175,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,GDP per capita (current LCU),NY.GDP.PCAP.CN,2017.0,60322.2614241747,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,2017.0,86.94,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,2017.0,93.57,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,2017.0,0.259861268216797,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,2017.0,0.897249433815775,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,2017.0,1.3639948504474,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,2017.0,1546273000000.0,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2017.0,18.4341244378013,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,2017.0,2.28760063212961,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,2017.0,20.1648400564101,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017.0,82.058,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Rural population growth (annual %),SP.RUR.TOTL.ZG,2017.0,-0.453841679756109,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,2017.0,2.76389458922837,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,2017.0,3.58207288000919,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2017.0,13.4411459994336,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,2017.0,4.81998087771501,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2017.0,6.73833414775129,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,2017.0,6.52369885505501,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,2017.0,6.86748673057093,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,2017.0,7.44091996562694,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2017.0,66.1219291236341,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,2017.0,65.0465903563105,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,2017.0,6.71294326460323,19.0,,pm10,µg/m³,,1year,1 year
United States,USA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2017.0,18.938947483366,19.0,,pm10,µg/m³,,1year,1 year
